Index;P_el;Q_Heiz;Q_WW;Q_gesamt
1;479.13;4425.92;0.00;4425.92
2;482.34;4917.45;0.00;4917.45
3;353.27;5408.98;0.00;5408.98
4;339.37;5900.50;0.00;5900.50
5;338.11;6392.03;0.00;6392.03
6;469.30;6846.97;0.00;6846.97
7;425.29;7301.91;0.00;7301.91
8;248.82;7756.85;0.00;7756.85
9;129.08;8211.79;0.00;8211.79
10;129.08;8465.77;0.00;8465.77
11;129.08;8719.76;0.00;8719.76
12;129.08;8973.74;0.00;8973.74
13;128.82;9227.73;0.00;9227.73
14;128.82;9368.04;0.00;9368.04
15;296.74;9508.36;0.00;9508.36
16;128.82;9648.67;0.00;9648.67
17;128.59;9788.99;0.00;9788.99
18;128.59;9861.24;0.00;9861.24
19;229.03;9933.49;0.00;9933.49
20;210.59;10005.70;0.00;10005.70
21;128.43;10078.00;0.00;10078.00
22;128.43;10084.70;0.00;10084.70
23;128.43;10091.40;0.00;10091.40
24;277.01;10098.20;0.00;10098.20
25;128.08;10104.90;0.00;10104.90
26;128.08;10101.40;0.00;10101.40
27;128.08;10097.90;0.00;10097.90
28;287.76;10094.50;0.00;10094.50
29;127.88;10091.00;0.00;10091.00
30;127.88;10066.60;0.00;10066.60
31;127.88;10042.30;0.00;10042.30
32;127.88;10018.00;0.00;10018.00
33;275.61;9993.62;0.00;9993.62
34;127.75;9933.22;24415.40;34348.62
35;129.03;9872.81;0.00;9872.81
36;138.57;9812.41;4044.56;13856.97
37;292.41;9752.01;0.00;9752.01
38;127.50;9738.10;0.00;9738.10
39;138.32;9724.19;0.00;9724.19
40;138.05;9710.28;0.00;9710.28
41;195.04;9696.37;0.00;9696.37
42;393.07;9618.58;0.00;9618.58
43;266.11;9540.79;0.00;9540.79
44;287.43;9463.00;0.00;9463.00
45;320.97;9385.22;0.00;9385.22
46;449.68;9289.33;0.00;9289.33
47;137.64;9193.45;0.00;9193.45
48;138.01;9097.56;0.00;9097.56
49;2312.28;9001.68;0.00;9001.68
50;2306.78;9028.49;0.00;9028.49
51;657.33;9055.30;0.00;9055.30
52;750.91;9082.12;0.00;9082.12
53;527.37;9108.93;0.00;9108.93
54;770.68;8976.91;0.00;8976.91
55;352.75;8844.89;0.00;8844.89
56;470.18;8712.87;0.00;8712.87
57;414.48;8580.85;0.00;8580.85
58;428.64;8483.97;0.00;8483.97
59;444.01;8387.09;0.00;8387.09
