Index;P_el;Q_Heiz;Q_WW;Q_gesamt
178;264.352;10698.7;0;10698.7
179;242.911;10740.7;0;10740.7
180;236.236;10782.8;0;10782.8
181;251.036;10824.9;0;10824.9
182;551.542;10743.8;0;10743.8
183;353.902;10662.8;0;10662.8
184;371.511;10581.8;0;10581.8
185;372.487;10500.8;0;10500.8
186;409.18;10612.6;0;10612.6
187;226.604;10724.4;0;10724.4
188;227.437;10836.2;0;10836.2
189;228.213;10948;0;10948
190;376.934;11027.7;0;11027.7
191;235.288;11107.3;0;11107.3
192;968.464;11186.9;0;11186.9
193;968.543;11266.5;0;11266.5
194;263.238;11349.3;0;11349.3
195;96.771;11432;0;11432
196;965.877;11514.7;0;11514.7
197;96.46;11597.4;0;11597.4
198;967.767;11645.6;0;11645.6
199;245.747;11693.7;0;11693.7
200;968.934;11741.9;0;11741.9
201;968.635;11790;0;11790
202;254.111;11875.2;0;11875.2
203;967.802;11960.4;0;11960.4
204;969.135;12045.6;0;12045.6
205;269.725;12130.8;0;12130.8
206;968.197;12197;0;12197
207;97.053;12263.1;0;12263.1
208;97.053;12329.2;0;12329.2
209;261.744;12395.3;0;12395.3
210;217.245;12457.6;0;12457.6
211;217.279;12519.8;0;12519.8
212;217.112;12582.1;0;12582.1
213;399.358;12644.3;0;12644.3
214;197.151;12626.2;0;12626.2
215;972.675;12608.1;0;12608.1
216;972.341;12590;0;12590
217;971.785;12571.9;0;12571.9
218;245.942;12577.6;0;12577.6
219;969.785;12583.2;0;12583.2
220;972.285;12588.9;0;12588.9
221;397.034;12594.5;0;12594.5
222;254.403;12445.1;0;12445.1
223;971.508;12295.7;0;12295.7
224;972.341;12146.3;0;12146.3
225;971.393;11996.8;0;11996.8
226;97.156;11837.5;0;11837.5
227;245.21;11678.1;0;11678.1
228;107.539;11518.7;0;11518.7
229;216.893;11359.3;0;11359.3
230;216.76;11046.6;0;11046.6
231;378.111;10734;0;10734
232;185.61;10421.3;0;10421.3
233;155.48;10108.6;0;10108.6
234;125.48;10017.1;0;10017.1
235;275.752;9925.47;0;9925.47
236;110.026;9833.89;0;9833.89
237;96.411;9742.3;0;9742.3
238;247.111;9726.7;0;9726.7
239;240.528;9711.1;0;9711.1
240;391.714;9695.5;0;9695.5
241;245.583;9679.9;0;9679.9
242;961.666;9510.1;0;9510.1
243;961.666;9340.29;0;9340.29
244;962.333;9170.48;0;9170.48
245;246.081;9000.68;0;9000.68
246;960.844;9022.6;0;9022.6
247;963.011;9044.52;0;9044.52
248;963.011;9066.44;0;9066.44
249;276.981;9088.36;0;9088.36
250;964.839;9294.96;0;9294.96
251;961.839;9501.55;0;9501.55
252;963.673;9708.15;0;9708.15
253;965.617;9914.75;0;9914.75
254;249.587;10135.2;0;10135.2
255;965.617;10355.6;0;10355.6
256;966.617;10576;0;10576
257;967.916;10796.4;0;10796.4
258;258.145;11203.3;0;11203.3
259;968.916;11610.1;0;11610.1
260;351.558;12017;0;12017
261;317.784;12423.9;0;12423.9
262;333.776;12512.6;0;12512.6
263;469.222;12601.3;0;12601.3
264;324.367;12690.1;0;12690.1
265;318.856;12778.8;0;12778.8
266;306.523;12802.6;0;12802.6
267;440.158;12826.4;0;12826.4
268;318.898;12850.3;0;12850.3
269;308.421;12874.1;0;12874.1
270;294.988;12942.4;0;12942.4
271;2470.38;13010.6;0;13010.6
272;974.543;13078.9;0;13078.9
273;97.565;13147.2;0;13147.2
274;976.984;13092.1;0;13092.1
275;277.835;13036.9;0;13036.9
276;973.984;12981.8;0;12981.8
277;975.096;12926.7;0;12926.7
278;976.262;12980.8;0;12980.8
279;247.237;13034.9;0;13034.9
280;976.262;13089;0;13089
281;976.826;13143.1;0;13143.1
282;975.826;13220.1;0;13220.1
283;384.906;13297.1;0;13297.1
284;217.583;13374.1;0;13374.1
285;217.691;13451.1;0;13451.1
286;217.841;13437.6;0;13437.6
287;217.957;13424.2;0;13424.2
288;367.203;13410.8;0;13410.8
289;217.845;13397.3;0;13397.3
290;217.762;13398.6;0;13398.6
291;376.182;13399.8;0;13399.8
292;217.579;13401;0;13401
293;973.814;13402.3;0;13402.3
294;271.652;13523.3;0;13523.3
295;974.481;13644.4;0;13644.4
296;978.147;13765.4;0;13765.4
297;978.172;13886.5;0;13886.5
298;263.285;13983.2;0;13983.2
299;977.338;14079.9;0;14079.9
300;978.672;14176.7;0;14176.7
301;978.864;14273.4;0;14273.4
302;279.948;14341.9;0;14341.9
303;106.594;14410.4;0;14410.4
304;979.364;14479;0;14479
305;979.708;14547.5;0;14547.5
306;981.041;14607.6;0;14607.6
307;246.764;14667.7;0;14667.7
308;979.708;14727.8;0;14727.8
309;980.887;14787.9;0;14787.9
310;98.022;14821.7;0;14821.7
311;255.921;14855.4;0;14855.4
312;981.053;14889.2;0;14889.2
313;981.056;14922.9;0;14922.9
314;981.556;14978.5;0;14978.5
315;979.056;15034.2;0;15034.2
316;246.328;15089.8;0;15089.8
317;97.973;15145.5;0;15145.5
318;98.223;15096.2;0;15096.2
319;980.897;15046.9;0;15046.9
320;261.355;14997.7;0;14997.7
321;98.24;14948.4;0;14948.4
322;218.257;14897.3;0;14897.3
323;218.173;14846.1;0;14846.1
324;366.459;14795;0;14795
325;135.87;14743.9;0;14743.9
326;978.546;14397.8;0;14397.8
327;978.546;14051.8;0;14051.8
328;978.712;13705.8;0;13705.8
329;251.07;13359.7;0;13359.7
330;976.908;13120.7;0;13120.7
331;108.541;12881.7;0;12881.7
332;108.657;12642.6;0;12642.6
333;108.023;12403.6;0;12403.6
334;258.175;12056.1;0;12056.1
335;107.839;11708.7;0;11708.7
336;108.289;11361.2;0;11361.2
337;107.273;11013.7;0;11013.7
338;278.638;10786.8;0;10786.8
339;963.232;10559.9;0;10559.9
340;963.899;10333;0;10333
341;96.519;10106.1;0;10106.1
