Index;P_el;Q_Heiz;Q_WW;Q_gesamt
1;158.71;4425.92;0.00;4425.92
2;158.64;4917.45;0.00;4917.45
3;158.71;5408.98;0.00;5408.98
4;331.43;5900.50;0.00;5900.50
5;159.39;6392.03;0.00;6392.03
6;159.45;6846.97;0.00;6846.97
7;159.37;7301.91;0.00;7301.91
8;334.27;7756.85;0.00;7756.85
9;159.67;8211.79;0.00;8211.79
10;159.67;8465.77;0.00;8465.77
11;379.12;8719.76;0.00;8719.76
12;173.89;8973.74;0.00;8973.74
13;325.53;9227.73;0.00;9227.73
14;160.43;9368.04;0.00;9368.04
15;160.36;9508.36;0.00;9508.36
16;160.35;9648.67;0.00;9648.67
17;332.87;9788.99;0.00;9788.99
18;160.17;9861.24;0.00;9861.24
19;160.15;9933.49;0.00;9933.49
20;339.44;10005.70;0.00;10005.70
21;342.35;10078.00;0.00;10078.00
22;160.12;10084.70;0.00;10084.70
23;159.91;10091.40;0.00;10091.40
24;344.24;10098.20;0.00;10098.20
25;351.10;10104.90;0.00;10104.90
26;159.24;10101.40;0.00;10101.40
27;159.55;10097.90;0.00;10097.90
28;159.54;10094.50;0.00;10094.50
29;328.48;10091.00;0.00;10091.00
30;159.53;10066.60;0.00;10066.60
31;159.21;10042.30;0.00;10042.30
32;159.26;10018.00;0.00;10018.00
33;512.72;9993.62;0.00;9993.62
34;170.24;9933.22;0.00;9933.22
35;169.93;9872.81;0.00;9872.81
36;169.61;9812.41;0.00;9812.41
37;679.94;9752.01;0.00;9752.01
38;356.01;9738.10;0.00;9738.10
39;2473.91;9724.19;0.00;9724.19
40;342.20;9710.28;0.00;9710.28
41;498.58;9696.37;0.00;9696.37
42;299.43;9618.58;0.00;9618.58
43;2436.72;9540.79;0.00;9540.79
44;425.66;9463.00;0.00;9463.00
45;577.12;9385.22;0.00;9385.22
46;580.35;9289.33;0.00;9289.33
47;387.04;9193.45;0.00;9193.45
48;547.14;9097.56;0.00;9097.56
49;389.46;9001.68;0.00;9001.68
50;592.23;9028.49;0.00;9028.49
51;381.15;9055.30;0.00;9055.30
52;727.78;9082.12;0.00;9082.12
53;545.13;9108.93;0.00;9108.93
54;636.36;8976.91;0.00;8976.91
55;3817.70;8844.89;0.00;8844.89
56;1804.16;8712.87;0.00;8712.87
57;1984.51;8580.85;0.00;8580.85
58;603.96;8483.97;0.00;8483.97
59;2223.19;8387.09;0.00;8387.09
60;3941.49;8290.21;21307.90;29598.11
61;540.60;8193.33;0.00;8193.33
62;1016.70;8235.28;0.00;8235.28
63;867.62;8277.24;0.00;8277.24
64;642.45;8319.20;0.00;8319.20
65;571.89;8361.15;0.00;8361.15
66;2775.34;8600.44;0.00;8600.44
67;553.84;8839.73;0.00;8839.73
68;393.68;9079.03;0.00;9079.03
69;373.23;9318.32;0.00;9318.32
70;820.53;9381.94;0.00;9381.94
71;585.56;9445.55;0.00;9445.55
72;803.07;9509.17;0.00;9509.17
73;880.49;9572.79;0.00;9572.79
74;928.07;9425.17;0.00;9425.17
75;724.19;9277.54;0.00;9277.54
76;707.52;9129.92;0.00;9129.92
77;851.67;8982.29;0.00;8982.29
78;861.83;8840.44;0.00;8840.44
79;879.48;8698.59;0.00;8698.59
80;2620.92;8556.74;0.00;8556.74
81;477.86;8414.90;0.00;8414.90
82;477.99;8292.90;0.00;8292.90
83;494.40;8170.91;0.00;8170.91
84;2772.16;8048.91;0.00;8048.91
85;2623.40;7926.91;0.00;7926.91
86;597.65;7936.95;0.00;7936.95
87;442.77;7946.99;0.00;7946.99
88;623.32;7957.03;0.00;7957.03
89;420.64;7967.07;0.00;7967.07
90;537.52;7902.65;0.00;7902.65
91;277.18;7838.22;0.00;7838.22
92;157.12;7773.80;0.00;7773.80
93;591.35;7709.38;0.00;7709.38
94;277.46;7647.52;0.00;7647.52
95;324.67;7585.67;0.00;7585.67
96;277.21;7523.81;0.00;7523.81
97;452.39;7461.95;0.00;7461.95
98;157.21;7517.92;0.00;7517.92
99;342.64;7573.89;0.00;7573.89
100;157.10;7629.86;0.00;7629.86
101;156.92;7685.82;0.00;7685.82
102;327.05;7712.46;0.00;7712.46
103;156.80;7739.10;0.00;7739.10
104;156.56;7765.73;0.00;7765.73
105;156.56;7792.37;0.00;7792.37
106;329.34;7829.32;0.00;7829.32
107;156.80;7866.26;0.00;7866.26
108;338.04;7903.20;0.00;7903.20
109;156.84;7940.15;0.00;7940.15
110;340.24;7963.36;0.00;7963.36
111;156.88;7986.57;0.00;7986.57
112;345.67;8009.79;0.00;8009.79
113;156.91;8033.00;0.00;8033.00
114;349.85;8057.94;0.00;8057.94
115;156.79;8082.87;0.00;8082.87
116;156.79;8107.81;0.00;8107.81
117;157.07;8132.75;0.00;8132.75
118;326.42;8151.26;0.00;8151.26
119;157.11;8169.78;10739.30;18909.08
120;156.82;8188.30;0.00;8188.30
121;343.21;8206.81;0.00;8206.81
122;344.68;8164.53;0.00;8164.53
123;157.62;8122.25;0.00;8122.25
124;157.34;8079.98;23700.60;31780.58
125;338.57;8037.70;0.00;8037.70
126;475.56;8036.98;0.00;8036.98
127;277.11;8036.27;0.00;8036.27
128;277.27;8035.56;0.00;8035.56
129;157.53;8034.85;20738.00;28772.85
130;332.27;7960.20;0.00;7960.20
131;157.46;7885.55;0.00;7885.55
132;157.51;7810.90;0.00;7810.90
133;338.87;7736.25;0.00;7736.25
134;345.37;7626.10;7258.31;14884.41
135;157.40;7515.94;0.00;7515.94
136;157.20;7405.78;0.00;7405.78
137;333.49;7295.62;0.00;7295.62
138;344.16;7065.52;0.00;7065.52
139;156.88;6835.42;0.00;6835.42
140;157.13;6605.32;0.00;6605.32
141;350.66;6375.23;0.00;6375.23
142;157.09;6431.68;0.00;6431.68
143;157.24;6488.13;0.00;6488.13
144;157.49;6544.59;0.00;6544.59
145;157.86;6601.04;0.00;6601.04
146;338.43;6424.04;0.00;6424.04
147;349.33;6247.05;0.00;6247.05
