Index;P_el;Q_Heiz;Q_WW;Q_gesamt
1;209.79;4425.92;0.00;4425.92
2;209.91;4917.45;0.00;4917.45
3;209.87;5408.98;0.00;5408.98
4;383.56;5900.50;0.00;5900.50
5;210.76;6392.03;0.00;6392.03
6;210.87;6846.97;0.00;6846.97
7;210.71;7301.91;0.00;7301.91
8;420.72;7756.85;0.00;7756.85
9;211.14;8211.79;0.00;8211.79
10;211.26;8465.77;0.00;8465.77
11;211.31;8719.76;0.00;8719.76
12;211.26;8973.74;0.00;8973.74
13;383.43;9227.73;0.00;9227.73
14;210.76;9368.04;0.00;9368.04
15;210.76;9508.36;0.00;9508.36
16;210.87;9648.67;0.00;9648.67
17;399.37;9788.99;0.00;9788.99
18;210.20;9861.24;0.00;9861.24
19;210.18;9933.49;0.00;9933.49
20;210.22;10005.70;0.00;10005.70
21;210.10;10078.00;0.00;10078.00
22;387.18;10084.70;0.00;10084.70
23;210.10;10091.40;0.00;10091.40
24;210.02;10098.20;0.00;10098.20
25;209.33;10104.90;0.00;10104.90
26;261.32;10101.40;0.00;10101.40
27;384.45;10097.90;0.00;10097.90
28;209.45;10094.50;0.00;10094.50
29;209.07;10091.00;0.00;10091.00
30;208.94;10066.60;0.00;10066.60
31;397.97;10042.30;0.00;10042.30
32;209.09;10018.00;0.00;10018.00
33;208.65;9993.62;0.00;9993.62
34;328.37;9933.22;19976.20;29909.42
35;535.02;9872.81;0.00;9872.81
36;339.17;9812.41;2811.46;12623.87
37;353.31;9752.01;0.00;9752.01
38;593.33;9738.10;0.00;9738.10
39;2606.94;9724.19;0.00;9724.19
40;1339.38;9710.28;0.00;9710.28
41;1585.15;9696.37;0.00;9696.37
42;1558.11;9618.58;0.00;9618.58
43;1704.24;9540.79;0.00;9540.79
44;2094.97;9463.00;0.00;9463.00
45;3550.53;9385.22;0.00;9385.22
46;1928.70;9289.33;0.00;9289.33
47;576.95;9193.45;0.00;9193.45
48;547.82;9097.56;0.00;9097.56
49;524.14;9001.68;0.00;9001.68
50;683.69;9028.49;0.00;9028.49
51;459.25;9055.30;0.00;9055.30
52;617.53;9082.12;0.00;9082.12
53;833.89;9108.93;0.00;9108.93
54;2680.02;8976.91;0.00;8976.91
55;717.33;8844.89;0.00;8844.89
56;894.14;8712.87;0.00;8712.87
57;1849.86;8580.85;0.00;8580.85
58;2673.26;8483.97;0.00;8483.97
59;512.64;8387.09;0.00;8387.09
60;801.00;8290.21;6658.73;14948.94
61;607.11;8193.33;0.00;8193.33
62;619.97;8235.28;0.00;8235.28
63;815.31;8277.24;0.00;8277.24
64;789.84;8319.20;0.00;8319.20
65;741.38;8361.15;0.00;8361.15
66;563.65;8600.44;0.00;8600.44
67;556.17;8839.73;0.00;8839.73
68;740.85;9079.03;0.00;9079.03
69;411.19;9318.32;0.00;9318.32
70;411.14;9381.94;0.00;9381.94
71;728.48;9445.55;0.00;9445.55
72;694.38;9509.17;0.00;9509.17
73;789.40;9572.79;0.00;9572.79
74;631.95;9425.17;0.00;9425.17
75;1029.61;9277.54;0.00;9277.54
76;1084.92;9129.92;0.00;9129.92
77;1053.24;8982.29;0.00;8982.29
78;1181.27;8840.44;0.00;8840.44
79;1160.95;8698.59;0.00;8698.59
80;1286.21;8556.74;0.00;8556.74
81;1144.43;8414.90;0.00;8414.90
82;958.21;8292.90;0.00;8292.90
83;939.99;8170.91;0.00;8170.91
84;1265.82;8048.91;0.00;8048.91
85;1116.16;7926.91;2762.14;10689.05
86;1101.03;7936.95;0.00;7936.95
87;1062.66;7946.99;0.00;7946.99
88;1079.06;7957.03;0.00;7957.03
89;875.49;7967.07;0.00;7967.07
90;847.42;7902.65;0.00;7902.65
91;567.06;7838.22;0.00;7838.22
92;553.55;7773.80;0.00;7773.80
93;882.14;7709.38;0.00;7709.38
94;735.15;7647.52;0.00;7647.52
95;565.51;7585.67;0.00;7585.67
96;430.46;7523.81;0.00;7523.81
97;417.70;7461.95;0.00;7461.95
98;206.07;7517.92;0.00;7517.92
99;206.04;7573.89;0.00;7573.89
100;206.09;7629.86;0.00;7629.86
101;205.40;7685.82;0.00;7685.82
102;378.19;7712.46;0.00;7712.46
103;205.35;7739.10;0.00;7739.10
104;205.40;7765.73;0.00;7765.73
105;205.28;7792.37;0.00;7792.37
106;395.19;7829.32;0.00;7829.32
107;205.45;7866.26;0.00;7866.26
108;205.40;7903.20;0.00;7903.20
109;205.68;7940.15;0.00;7940.15
110;205.68;7963.36;0.00;7963.36
111;382.87;7986.57;0.00;7986.57
112;205.80;8009.79;0.00;8009.79
113;205.68;8033.00;0.00;8033.00
114;205.56;8057.94;0.00;8057.94
115;222.37;8082.87;0.00;8082.87
116;380.65;8107.81;0.00;8107.81
117;206.04;8132.75;0.00;8132.75
118;206.17;8151.26;0.00;8151.26
119;326.04;8169.78;0.00;8169.78
120;515.63;8188.30;0.00;8188.30
121;206.32;8206.81;0.00;8206.81
122;217.77;8164.53;0.00;8164.53
123;215.84;8122.25;0.00;8122.25
124;534.87;8079.98;0.00;8079.98
125;326.27;8037.70;18479.10;26516.80
126;326.14;8036.98;0.00;8036.98
127;326.14;8036.27;3950.10;11986.37
128;326.29;8035.56;0.00;8035.56
129;501.14;8034.85;0.00;8034.85
130;326.08;7960.20;0.00;7960.20
131;326.33;7885.55;0.00;7885.55
132;326.41;7810.90;0.00;7810.90
133;524.35;7736.25;0.00;7736.25
134;206.26;7626.10;18664.20;26290.30
135;375.95;7515.94;0.00;7515.94
136;492.57;7405.78;0.00;7405.78
137;612.23;7295.62;0.00;7295.62
138;315.64;7065.52;0.00;7065.52
139;347.98;6835.42;0.00;6835.42
140;3750.94;6605.32;0.00;6605.32
141;3768.36;6375.23;0.00;6375.23
142;794.06;6431.68;0.00;6431.68
143;391.80;6488.13;0.00;6488.13
144;232.08;6544.59;0.00;6544.59
145;664.17;6601.04;0.00;6601.04
146;443.95;6424.04;0.00;6424.04
147;453.61;6247.05;23108.10;29355.15
148;585.07;6070.05;0.00;6070.05
149;779.09;5893.05;0.00;5893.05
150;575.99;6000.66;0.00;6000.66
